variable,All years,1995,2000,2005
nar_b,1777.2466453674122,1027.6159769008661,1830.5492822966507,2468.608986615679
nar_imc,1324.741307814992,749.6915708812261,1086.1952153110049,2137.0095602294455
nar_tfcu,738.6288353678653,534.8242105263158,740.8466730954677,921.8802681992337
nlo_b,1437.929392971246,865.0519730510106,1361.6373205741627,2083.192160611855
nlo_imc,973.8411483253589,526.1590038314176,734.7875598086124,1659.4923518164435
nlo_tfcu,610.105575717585,456.3147368421053,632.3307618129219,727.9731800766283
amto_b,111.20682247311606,85.45933544951316,103.22253621189901,144.6601955251248
amto_imc,95.66532728899699,71.17809021611642,94.38221599631405,121.38881012906302
amto_tfcu,114.85797407420942,83.04395525598167,115.18407169340523,143.36166106204323
inco_b,65.54440119772897,56.43436614905937,64.67284254930675,75.42935823690121
inco_imc,58.155872285078686,47.16303585268123,58.02443701262838,69.25910506852473
inco_tfcu,67.20016836515465,54.45999153185134,70.17486356753956,75.81421930918385
