panel,dep,coef,se,pval,N,R2
Panel A: Full Sample,ifireltomtg_b,-0.004828174504138981,0.0012222021074330175,7.855490718444713e-05,11136,0.531098288479505
Panel A: Full Sample,roa_b,2.9808154168457653e-05,4.9140053482151305e-05,0.5441327571756351,11147,0.3577448805720773
Panel A: Full Sample,iodtototd_b,-0.00015852704614554382,5.819465198749258e-05,0.006459117490851929,11147,0.955208696425896
Panel A: Full Sample,nplrel_b,0.0001267160745223723,0.00015875342077124207,0.4247775607838693,10607,0.07017862812436737
Panel A: Full Sample,Dl_totd_b,0.043652665439030125,0.01656601597833466,0.008426360312923542,10020,0.27457397713507026
Panel B: Border Counties,ifireltomtg_b,-0.003361318619540954,0.0007737939466862311,1.4524549955874377e-05,2921,0.5438899555902883
Panel B: Border Counties,roa_b,7.019633063735799e-06,4.4359639949438805e-05,0.8742769044151424,2924,0.38235240490019873
Panel B: Border Counties,iodtototd_b,-0.0002296721809049434,7.442718114549496e-05,0.002050702614625033,2924,0.9461121067658645
Panel B: Border Counties,nplrel_b,1.7503971893777356e-05,0.00026265559068483594,0.9468717008087373,2837,0.12262566325002067
Panel B: Border Counties,Dl_totd_b,0.053319414341937224,0.01711683835739754,0.0018615481393562394,2631,0.2990625704643092
