dep,panel,coef,se,pval,N
Dl_nloans_b,A1_Banks_Border,0.0375473283967967,0.009889849148498457,0.00015007974912895072,2885
Dl_vloans_b,A1_Banks_Border,0.04165038660225247,0.011455658828369429,0.00028251116260502585,2885
Dl_nden_b,A1_Banks_Border,-0.002636199590124189,0.017372831917876072,0.8794017838047781,2866
Dl_lir_b,A1_Banks_Border,0.04290039333947842,0.011504001073858206,0.00019621738354858032,2885
Dl_nsold_b,A1_Banks_Border,0.019999754392194365,0.009657391652875848,0.038466310041264995,2829
Dl_nloans_pl,A1_Placebo_Border,0.008418715219004195,0.005226288888963049,0.10734033468461268,2796
Dl_vloans_pl,A1_Placebo_Border,0.010149012290596336,0.005978744622908926,0.08972318785699929,2796
Dl_nden_pl,A1_Placebo_Border,0.0059301615936615745,0.016579884066769943,0.7206188033380503,2796
Dl_lir_pl,A1_Placebo_Border,0.010590267186191079,0.0058312807717257435,0.06947222614463344,2796
Dl_nsold_pl,A1_Placebo_Border,-0.005500957577199634,0.009687108096670831,0.5701783363130584,2793
