row_index,GEOID,fips_int,STATEFP,COUNTYFP,NAME
0,01001,1001,01,001,Autauga
1,01003,1003,01,003,Baldwin
2,01005,1005,01,005,Barbour
3,01007,1007,01,007,Bibb
4,01009,1009,01,009,Blount
5,01011,1011,01,011,Bullock
6,01013,1013,01,013,Butler
7,01015,1015,01,015,Calhoun
8,01017,1017,01,017,Chambers
9,01019,1019,01,019,Cherokee
10,01021,1021,01,021,Chilton
11,01023,1023,01,023,Choctaw
12,01025,1025,01,025,Clarke
13,01027,1027,01,027,Clay
14,01029,1029,01,029,Cleburne
15,01031,1031,01,031,Coffee
16,01033,1033,01,033,Colbert
17,01035,1035,01,035,Conecuh
18,01037,1037,01,037,Coosa
19,01039,1039,01,039,Covington
20,01041,1041,01,041,Crenshaw
21,01043,1043,01,043,Cullman
22,01045,1045,01,045,Dale
23,01047,1047,01,047,Dallas
24,01049,1049,01,049,DeKalb
25,01051,1051,01,051,Elmore
26,01053,1053,01,053,Escambia
27,01055,1055,01,055,Etowah
28,01057,1057,01,057,Fayette
29,01059,1059,01,059,Franklin
30,01061,1061,01,061,Geneva
31,01063,1063,01,063,Greene
32,01065,1065,01,065,Hale
33,01067,1067,01,067,Henry
34,01069,1069,01,069,Houston
35,01071,1071,01,071,Jackson
36,01073,1073,01,073,Jefferson
37,01075,1075,01,075,Lamar
38,01077,1077,01,077,Lauderdale
39,01079,1079,01,079,Lawrence
40,01081,1081,01,081,Lee
41,01083,1083,01,083,Limestone
42,01085,1085,01,085,Lowndes
43,01087,1087,01,087,Macon
44,01089,1089,01,089,Madison
45,01091,1091,01,091,Marengo
46,01093,1093,01,093,Marion
47,01095,1095,01,095,Marshall
48,01097,1097,01,097,Mobile
49,01099,1099,01,099,Monroe
50,01101,1101,01,101,Montgomery
51,01103,1103,01,103,Morgan
52,01105,1105,01,105,Perry
53,01107,1107,01,107,Pickens
54,01109,1109,01,109,Pike
55,01111,1111,01,111,Randolph
56,01113,1113,01,113,Russell
57,01115,1115,01,115,St. Clair
58,01117,1117,01,117,Shelby
59,01119,1119,01,119,Sumter
60,01121,1121,01,121,Talladega
61,01123,1123,01,123,Tallapoosa
62,01125,1125,01,125,Tuscaloosa
63,01127,1127,01,127,Walker
64,01129,1129,01,129,Washington
65,01131,1131,01,131,Wilcox
66,01133,1133,01,133,Winston
67,04001,4001,04,001,Apache
68,04003,4003,04,003,Cochise
69,04005,4005,04,005,Coconino
70,04007,4007,04,007,Gila
71,04009,4009,04,009,Graham
72,04011,4011,04,011,Greenlee
73,04012,4012,04,012,La Paz
74,04013,4013,04,013,Maricopa
75,04015,4015,04,015,Mohave
76,04017,4017,04,017,Navajo
77,04019,4019,04,019,Pima
78,04021,4021,04,021,Pinal
79,04023,4023,04,023,Santa Cruz
80,04025,4025,04,025,Yavapai
81,04027,4027,04,027,Yuma
82,05001,5001,05,001,Arkansas
83,05003,5003,05,003,Ashley
84,05005,5005,05,005,Baxter
85,05007,5007,05,007,Benton
86,05009,5009,05,009,Boone
87,05011,5011,05,011,Bradley
88,05013,5013,05,013,Calhoun
89,05015,5015,05,015,Carroll
90,05017,5017,05,017,Chicot
91,05019,5019,05,019,Clark
92,05021,5021,05,021,Clay
93,05023,5023,05,023,Cleburne
94,05025,5025,05,025,Cleveland
95,05027,5027,05,027,Columbia
96,05029,5029,05,029,Conway
97,05031,5031,05,031,Craighead
98,05033,5033,05,033,Crawford
99,05035,5035,05,035,Crittenden
100,05037,5037,05,037,Cross
101,05039,5039,05,039,Dallas
102,05041,5041,05,041,Desha
103,05043,5043,05,043,Drew
104,05045,5045,05,045,Faulkner
105,05047,5047,05,047,Franklin
106,05049,5049,05,049,Fulton
107,05051,5051,05,051,Garland
108,05053,5053,05,053,Grant
109,05055,5055,05,055,Greene
110,05057,5057,05,057,Hempstead
111,05059,5059,05,059,Hot Spring
112,05061,5061,05,061,Howard
113,05063,5063,05,063,Independence
114,05065,5065,05,065,Izard
115,05067,5067,05,067,Jackson
116,05069,5069,05,069,Jefferson
117,05071,5071,05,071,Johnson
118,05073,5073,05,073,Lafayette
119,05075,5075,05,075,Lawrence
120,05077,5077,05,077,Lee
121,05079,5079,05,079,Lincoln
122,05081,5081,05,081,Little River
123,05083,5083,05,083,Logan
124,05085,5085,05,085,Lonoke
125,05087,5087,05,087,Madison
126,05089,5089,05,089,Marion
127,05091,5091,05,091,Miller
128,05093,5093,05,093,Mississippi
129,05095,5095,05,095,Monroe
130,05097,5097,05,097,Montgomery
131,05099,5099,05,099,Nevada
132,05101,5101,05,101,Newton
133,05103,5103,05,103,Ouachita
134,05105,5105,05,105,Perry
135,05107,5107,05,107,Phillips
136,05109,5109,05,109,Pike
137,05111,5111,05,111,Poinsett
138,05113,5113,05,113,Polk
139,05115,5115,05,115,Pope
140,05117,5117,05,117,Prairie
141,05119,5119,05,119,Pulaski
142,05121,5121,05,121,Randolph
143,05123,5123,05,123,St. Francis
144,05125,5125,05,125,Saline
145,05127,5127,05,127,Scott
146,05129,5129,05,129,Searcy
147,05131,5131,05,131,Sebastian
148,05133,5133,05,133,Sevier
149,05135,5135,05,135,Sharp
150,05137,5137,05,137,Stone
151,05139,5139,05,139,Union
152,05141,5141,05,141,Van Buren
153,05143,5143,05,143,Washington
154,05145,5145,05,145,White
155,05147,5147,05,147,Woodruff
156,05149,5149,05,149,Yell
157,06001,6001,06,001,Alameda
158,06003,6003,06,003,Alpine
159,06005,6005,06,005,Amador
160,06007,6007,06,007,Butte
161,06009,6009,06,009,Calaveras
162,06011,6011,06,011,Colusa
163,06013,6013,06,013,Contra Costa
164,06015,6015,06,015,Del Norte
165,06017,6017,06,017,El Dorado
