row_index,fips5,fips_int
0,01001,1001
1,01007,1007
2,01009,1009
3,01015,1015
4,01021,1021
5,01033,1033
6,01051,1051
7,01055,1055
8,01061,1061
9,01063,1063
10,01065,1065
11,01067,1067
12,01069,1069
13,01073,1073
14,01077,1077
15,01079,1079
16,01081,1081
17,01083,1083
18,01085,1085
19,01089,1089
20,01097,1097
21,04005,4005
22,04013,4013
23,04019,4019
24,04021,4021
25,04025,4025
26,04027,4027
27,05007,5007
28,05025,5025
29,05033,5033
30,05035,5035
31,05045,5045
32,05047,5047
33,05053,5053
34,05069,5069
35,05079,5079
36,05085,5085
37,05087,5087
38,05091,5091
39,06001,6001
40,06013,6013
41,06017,6017
42,06019,6019
43,06025,6025
44,06029,6029
45,06031,6031
46,06037,6037
47,06039,6039
48,06041,6041
49,06047,6047
50,06053,6053
51,06055,6055
52,06059,6059
53,06061,6061
54,06065,6065
55,06067,6067
56,06069,6069
57,06071,6071
58,06073,6073
59,06075,6075
60,06077,6077
61,06079,6079
62,06081,6081
63,06083,6083
64,06085,6085
65,06087,6087
66,06095,6095
67,06097,6097
68,06099,6099
69,08001,8001
70,08005,8005
71,08013,8013
72,08019,8019
73,08031,8031
74,08035,8035
75,08039,8039
76,08041,8041
77,08047,8047
78,08059,8059
79,08069,8069
80,08093,8093
81,09001,9001
82,09003,9003
83,09007,9007
84,09009,9009
85,09011,9011
86,09013,9013
87,10001,10001
88,10003,10003
89,12001,12001
90,12003,12003
91,12009,12009
92,12011,12011
93,12015,12015
94,12019,12019
95,12021,12021
96,12031,12031
97,12033,12033
98,12039,12039
99,12041,12041
100,12053,12053
101,12057,12057
102,12061,12061
103,12065,12065
104,12069,12069
105,12071,12071
106,12073,12073
107,12081,12081
108,12083,12083
109,12085,12085
110,12089,12089
111,12091,12091
112,12095,12095
113,12097,12097
114,12099,12099
115,12101,12101
116,12103,12103
117,12105,12105
118,12109,12109
119,12111,12111
120,12113,12113
121,12115,12115
122,12117,12117
123,12127,12127
124,12129,12129
125,13007,13007
126,13013,13013
127,13015,13015
128,13021,13021
129,13025,13025
130,13027,13027
131,13029,13029
132,13033,13033
133,13035,13035
134,13045,13045
135,13047,13047
136,13051,13051
137,13053,13053
138,13057,13057
139,13059,13059
140,13063,13063
141,13067,13067
142,13073,13073
143,13077,13077
144,13079,13079
145,13083,13083
146,13085,13085
147,13089,13089
148,13095,13095
149,13097,13097
150,13101,13101
151,13103,13103
152,13113,13113
153,13115,13115
154,13117,13117
155,13121,13121
156,13127,13127
157,13135,13135
158,13139,13139
159,13143,13143
160,13145,13145
161,13149,13149
162,13151,13151
163,13153,13153
164,13159,13159
165,13169,13169
166,13171,13171
167,13173,13173
168,13177,13177
169,13179,13179
170,13183,13183
171,13185,13185
172,13189,13189
173,13191,13191
174,13195,13195
175,13197,13197
176,13199,13199
177,13207,13207
178,13213,13213
179,13215,13215
180,13217,13217
181,13219,13219
182,13221,13221
183,13223,13223
184,13227,13227
185,13231,13231
186,13245,13245
187,13247,13247
188,13255,13255
189,13273,13273
190,13289,13289
191,13295,13295
192,13297,13297
193,13313,13313
194,13321,13321
195,16001,16001
196,16005,16005
197,16015,16015
198,16019,16019
199,16027,16027
200,16041,16041
201,16045,16045
202,16051,16051
203,16055,16055
204,16069,16069
205,16073,16073
206,16077,16077
207,17005,17005
208,17007,17007
209,17013,17013
210,17019,17019
211,17027,17027
212,17031,17031
213,17037,17037
214,17043,17043
215,17053,17053
216,17063,17063
217,17073,17073
218,17083,17083
219,17089,17089
220,17091,17091
221,17093,17093
222,17097,17097
223,17111,17111
224,17113,17113
