pair,w_alt,sample,alpha_star,lam_at_star,se_lam_at_star,beta_at_star,se_beta_at_star,logll_at_star,logll_geo,logll_bank,logll_improvement
Pair A,W_bank,Full,0.25,0.565993155461384,0.027779549190260447,0.020748182344470324,0.0053094472361661345,-45727.00518518823,-45767.03685106497,-45795.05102365657,40.03166587674059
Pair A,W_bank,Contig,0.2,0.32583284112442507,0.04567272310387769,0.029642534131507633,0.007471896067441051,-10284.39604766706,-10290.684649493982,-10287.275353970523,2.8793063034627266
Pair A,W_bank,NonContig,0.30000000000000004,0.5314776731128994,0.02781927720310537,0.021788954074673128,0.00665772377714906,-32502.599798203195,-32528.90204608236,-32570.48478017121,26.302247879164497
Pair B,W_bank_count,Full,0.25,0.5730569535634317,0.026686172614319974,0.021924195761956068,0.0053290586246268895,-45728.21901808691,-45767.03685106497,-45797.885637083804,38.81783297806396
Pair B,W_bank_count,Contig,0.2,0.3389897935420355,0.04372052044282502,0.02993259182660484,0.007510044005967177,-10284.004728809861,-10290.684649493982,-10286.980342313871,2.9756135040097433
Pair B,W_bank_count,NonContig,0.30000000000000004,0.5365520768184769,0.026936706761689078,0.022688850258315886,0.006669720715539698,-32501.865912768008,-32528.90204608236,-32569.696959589062,27.0361333143519
Pair C,W_bank_binary,Full,0.45,0.3984878118711589,0.022764955815232153,0.02394457334890204,0.004784011871804024,-45760.010471158006,-45767.03685106497,-45879.49611795663,7.026379906965303
Pair C,W_bank_binary,Contig,1.0,0.1134973985870008,0.02203401083579195,0.036560362947083126,0.0069160094380418344,-10290.684649493982,-10290.684649493982,-10301.872179651311,0.0
Pair C,W_bank_binary,NonContig,0.5,0.3889088543835277,0.022792251565553347,0.02230777038250856,0.006052688464691117,-32524.758005101732,-32528.90204608236,-32638.856760990897,4.144040980627324
Pair D,W_bank_knn4,Full,0.4,0.2911885279023763,0.01344066898991575,0.02601646469674762,0.005265656053470489,-45713.42386791567,-45767.03685106497,-45747.40164908243,33.97778116675909
Pair D,W_bank_knn4,Contig,0.4,0.16133088092720713,0.024536394200109484,0.03700021948473843,0.007203546815390244,-10285.275369660147,-10290.684649493982,-10287.667822801484,2.3924531413376826
Pair D,W_bank_knn4,NonContig,0.4,0.30523900908318824,0.014421353993084661,0.02327598152810307,0.006696291787315858,-32481.984913484506,-32528.90204608236,-32513.81391754975,31.82900406524277
Pair E,W_bank_nonGeo,Full,0.30000000000000004,0.5849984914210591,0.029077818935354476,0.01832699899954953,0.005340951301647374,-45273.00285191869,-45310.141187762616,-45393.03710492918,37.13833584392705
Pair E,W_bank_nonGeo,Contig,0.45,0.2616865977279981,0.042502365473513264,0.027532437536834903,0.0072035024184195105,-10144.564807192652,-10147.458625847292,-10157.033278098643,2.8938186546401994
Pair E,W_bank_nonGeo,NonContig,0.30000000000000004,0.6303125633684116,0.030794346115582762,0.01995850446595837,0.00686212549638887,-32185.56259052633,-32222.215567569136,-32299.517761932166,36.652977042806015
Pair F,W_bank_interstate,Full,0.45,0.40710972743470564,0.02318095375979893,0.017869853434022837,0.004680402643271444,-44138.44467872095,-44145.30429941937,-44270.026296989934,6.859620698414801
Pair F,W_bank_interstate,Contig,0.30000000000000004,0.30550475805429483,0.047925881490922605,0.022150068295813573,0.006741801275802358,-9931.931811220065,-9936.37591177225,-9939.572451556056,4.444100552183954
Pair F,W_bank_interstate,NonContig,0.65,0.3131356996943595,0.018438134706533122,0.019300514252072354,0.005945515083165471,-31306.561725386404,-31307.794822500724,-31438.40480821607,1.2330971143201168
Pair G,W_bank_intrastate,Full,0.30000000000000004,0.3635593817659872,0.016823435511342327,0.029476420838436296,0.005976825045216794,-45649.547581423634,-45713.82225839851,-45686.117024725194,36.56944330155966
Pair G,W_bank_intrastate,Contig,0.45,0.17358051370074826,0.02853277525328059,0.037682243330940904,0.007440391826537054,-10286.407395136921,-10290.684649493982,-10290.294560625578,3.887165488657047
Pair G,W_bank_intrastate,NonContig,0.35000000000000003,0.3534740051214003,0.017412033610615506,0.025564173300533843,0.007288842909779411,-32431.051221087015,-32476.961528013333,-32465.81712888824,34.765907801225694
