pair,w_alt,sample,alpha,N,lam,se_lam,logll,sig2,utu,beta,se_beta
Pair A,W_bank_bin,Full,0.0,886,0.9860125340998058,0.0027333806395379366,-57933.080475710274,0.8531158060186206,44730.75975304046,2.415299357497591,0.01840712553513504
Pair A,W_bank_bin,Full,0.05,886,0.9907386822540513,0.0018719233118009756,-57562.01337445547,0.7873703634444281,76649.56431679164,2.4110149833632213,0.018436411101677454
Pair A,W_bank_bin,Full,0.1,886,0.9925971422714912,0.0015568525292035773,-57187.49952071717,0.7253914716494171,65423.92880912621,2.4057869286195466,0.018455716325381958
Pair A,W_bank_bin,Full,0.15000000000000002,886,0.9941586646152825,0.0012916006376976086,-56809.964598539314,0.6667311001956778,40525.150091496034,2.399843539234439,0.018473275761782818
Pair A,W_bank_bin,Full,0.2,886,0.995619109154176,0.001038568335406272,-56429.60299510658,0.6113035378881411,24893.471333543417,2.3934715758353233,0.01849105649426478
Pair A,W_bank_bin,Full,0.25,886,0.9966807620909341,0.000857544942846994,-56047.481343744075,0.5592496816405857,18173.150954173256,2.386712807966805,0.018508363765290796
Pair A,W_bank_bin,Full,0.30000000000000004,886,0.9974073767251727,0.000736722892853018,-55665.30661564086,0.5106268838181245,15347.633669215058,2.3794129491201006,0.018524489742292125
Pair A,W_bank_bin,Full,0.35000000000000003,886,0.9979147416991195,0.0006535869673648805,-55285.31422936775,0.46544080409729105,14000.511785845045,2.3714522837649885,0.01853875471972799
Pair A,W_bank_bin,Full,0.4,886,0.9982669295821924,0.000595685389355132,-54910.46899703732,0.42369183406480154,13272.502218225882,2.3627694969935376,0.01855029563458503
Pair A,W_bank_bin,Full,0.45,886,0.9984940919957205,0.0005572227070403229,-54544.73360042413,0.3853817647609916,12839.54297634125,2.353351681409143,0.018557994762701008
Pair A,W_bank_bin,Full,0.5,886,0.9986058412978404,0.0005364510845994481,-54193.377551350386,0.35051432945944766,12563.917620399308,2.343241961283388,0.01856044632121049
Pair A,W_bank_bin,Full,0.55,886,0.9985930289994306,0.0005353376963798536,-53863.34303178862,0.31909651672905714,12380.237188017081,2.332559961577939,0.01855594663269573
