year,n,moran_i,expected_i,z_norm,p_norm,significant
1995,869,0.7831512487901977,-0.001152073732718894,27.218095835546766,3.9668843454896765e-163,***
1996,869,0.7122108709656109,-0.001152073732718894,24.756214128825977,2.657605708450924e-135,***
1997,869,0.6452610026467561,-0.001152073732718894,22.43281719839084,1.8832667840965417e-111,***
1998,869,0.7690139916586796,-0.001152073732718894,26.72748307335719,2.2564779588345692e-157,***
1999,869,0.6568631091361312,-0.001152073732718894,22.8354512779026,2.0387849292406107e-115,***
2000,869,0.7098887259874708,-0.001152073732718894,24.675627495129543,1.9539701970335477e-134,***
2001,869,0.6101554895811003,-0.001152073732718894,21.21453188512272,7.012121165627503e-100,***
2002,869,0.6412479075753735,-0.001152073732718894,22.293548623193825,4.267867939771093e-110,***
2003,869,0.6443893766555043,-0.001152073732718894,22.402568697483908,3.715278055985905e-111,***
2004,869,0.8158983133510235,-0.001152073732718894,28.354534654500448,7.3590101433042e-177,***
2005,869,0.7723074254573842,-0.001152073732718894,26.841776860195704,1.0521315395002398e-158,***
