pair,sample,w_matrix,alpha,mean_moran_I,median_moran_I,min_p_value,significant_years,n_years,density,sparsity,avg_nbrs
Endpoint,All,W_geo,1.0,0.16911115163476087,0.16738900921548083,0.001,11,11,0.0033495742731270792,0.9966504257268729,3.423264907135875
Pair A,Full,W_bank_bin,0.0,0.046541453111473244,0.04003688209820478,0.001,11,11,0.4027638291889286,0.5972361708110714,411.62463343108504
Pair A,Full,W_bank_bin_alpha_star,0.2,0.07321949122244216,0.07680470551162194,0.001,11,11,0.40301442555088157,0.5969855744491184,411.880742913001
Pair A,Non-border,W_bank_bin,0.0,0.055022337286645955,0.05442000370807149,0.001,11,11,0.4027638291889286,0.5972361708110714,411.62463343108504
Pair A,Non-border,W_bank_bin_alpha_star,0.2,0.08513180785123664,0.07994970838501098,0.001,11,11,0.40301442555088157,0.5969855744491184,411.880742913001
Pair B,Full,W_bank_count,0.0,0.048209723783940776,0.04430986222963043,0.001,11,11,0.4027638291889286,0.5972361708110714,411.62463343108504
Pair B,Full,W_bank_count_alpha_star,0.2,0.07429946066532614,0.07971962214723546,0.001,11,11,0.40301442555088157,0.5969855744491184,411.880742913001
Pair B,Non-border,W_bank_count,0.0,0.058730444086521304,0.05583841517699292,0.001,10,11,0.4027638291889286,0.5972361708110714,411.62463343108504
Pair B,Non-border,W_bank_count_alpha_star,0.2,0.08730804951163808,0.07999780850026773,0.001,11,11,0.40301442555088157,0.5969855744491184,411.880742913001
Pair C,Full,W_bank_nonGeo,0.0,0.03269399731813269,0.02451821869190753,0.001,10,11,0.39966485127775453,0.6003351487222455,408.4574780058651
Pair C,Full,W_bank_nonGeo_alpha_star,0.3,0.07653882799210322,0.07371983921549598,0.001,11,11,0.40301442555088157,0.5969855744491184,411.880742913001
Pair C,Non-border,W_bank_nonGeo,0.0,0.040330111495001215,0.039387923207961424,0.001,11,11,0.39966485127775453,0.6003351487222455,408.4574780058651
Pair C,Non-border,W_bank_nonGeo_alpha_star,0.25,0.08397085583830903,0.08206976295228677,0.001,11,11,0.40301442555088157,0.5969855744491184,411.880742913001
