year,moran_I,expected_I,z_score,p_value,significant,n_units,level,outcome
1995,0.1298849187547355,-0.0011135857461024498,4.621905185721088,0.001,True,899,county,credit
1996,0.10661904217509197,-0.0010570824524312897,3.7243100165424456,0.002,True,947,county,credit
1997,0.08442208642377834,-0.00099601593625498,3.1222017881970525,0.003,True,1005,county,credit
1998,0.172069389054514,-0.0009891196834817012,6.178050576012905,0.001,True,1012,county,credit
1999,0.26487212603754207,-0.0009871668311944718,9.485882513945604,0.001,True,1014,county,credit
2000,0.24111753445657652,-0.0009871668311944718,8.92759259542693,0.001,True,1014,county,credit
2001,0.21517668376648602,-0.0009881422924901185,8.072087429694694,0.001,True,1013,county,credit
2002,0.16377815737887985,-0.0009871668311944718,5.925602468358785,0.001,True,1014,county,credit
2003,0.08660208782677085,-0.0009871668311944718,3.155949579284824,0.001,True,1014,county,credit
2004,0.18493353489587772,-0.0009861932938856016,6.947104938330332,0.001,True,1015,county,credit
2005,0.22101925331033345,-0.0009861932938856016,7.804824742153963,0.001,True,1015,county,credit
1995,0.19301576240531515,-0.024390243902439025,1.9993025376356404,0.028,True,42,state,credit
1996,0.12160711774322458,-0.024390243902439025,1.2708300568247712,0.1,False,42,state,credit
1997,0.2324919622553572,-0.024390243902439025,2.2369253692057676,0.017,True,42,state,credit
1998,0.12227915635513159,-0.024390243902439025,1.3665218461548654,0.094,False,42,state,credit
1999,0.09642823592122514,-0.024390243902439025,1.1326479057215293,0.142,False,42,state,credit
2000,0.11833937521597915,-0.024390243902439025,1.3347843266420474,0.099,False,42,state,credit
2001,0.042262864149902775,-0.024390243902439025,0.5429961806696247,0.297,False,42,state,credit
2002,0.11412883061298397,-0.024390243902439025,1.2066838027848186,0.112,False,42,state,credit
2003,-0.22119739383461548,-0.024390243902439025,-1.7647724548045227,0.033,True,42,state,credit
2004,0.388926430538728,-0.024390243902439025,3.7201050725513607,0.001,True,42,state,credit
2005,0.05182451535713998,-0.024390243902439025,0.7958192923265638,0.202,False,42,state,credit
1995,0.788663518905834,-0.0011337868480725624,27.711365270340757,0.001,True,883,county,hpi
1996,0.7194732774650421,-0.0011337868480725624,23.904338485150426,0.001,True,883,county,hpi
1997,0.6565014901697085,-0.0011312217194570137,22.731301998414715,0.001,True,885,county,hpi
1998,0.7790832465795143,-0.0011312217194570137,27.295095089220293,0.001,True,885,county,hpi
1999,0.669225915728381,-0.0011312217194570137,22.66025842011511,0.001,True,885,county,hpi
2000,0.7029866672013495,-0.0011312217194570137,24.24086706820196,0.001,True,885,county,hpi
2001,0.6031167535593733,-0.0011312217194570137,20.582002765216792,0.001,True,885,county,hpi
2002,0.6509159096404109,-0.0011299435028248588,22.532352900614537,0.001,True,886,county,hpi
2003,0.6710792822703484,-0.0011299435028248588,22.919560125711467,0.001,True,886,county,hpi
2004,0.808620993230071,-0.0011299435028248588,28.799712016760914,0.001,True,886,county,hpi
2005,0.77304739353201,-0.0011299435028248588,26.91388086977867,0.001,True,886,county,hpi
1995,0.05573717909394087,-0.024390243902439025,0.7546427332242198,0.226,False,42,state,hpi
1996,0.05736733250940923,-0.024390243902439025,0.7145113315875172,0.248,False,42,state,hpi
1997,-0.11235576300720904,-0.024390243902439025,-0.7819911155842832,0.21,False,42,state,hpi
1998,0.02375562234549607,-0.024390243902439025,0.39409227654403456,0.345,False,42,state,hpi
1999,-0.012602411077614506,-0.024390243902439025,0.06428759585331101,0.46,False,42,state,hpi
2000,0.024058701437985663,-0.024390243902439025,0.46233458509363495,0.321,False,42,state,hpi
2001,-0.16395484477297748,-0.024390243902439025,-1.170161969835229,0.126,False,42,state,hpi
2002,0.33052138394594943,-0.024390243902439025,3.3959270840607965,0.002,True,42,state,hpi
2003,-0.1116401055958269,-0.024390243902439025,-0.7142402643540744,0.267,False,42,state,hpi
2004,0.015336060795711667,-0.024390243902439025,0.43851685150285236,0.31,False,42,state,hpi
2005,0.32338071977715205,-0.024390243902439025,3.0300242525476033,0.005,True,42,state,hpi
