outcome,level,w_matrix,mean_moran_I,median_moran_I,min_p_value,significant_years,n_years,density,sparsity,avg_nbrs
credit,county,W_geo,0.16911115163476087,0.16738900921548083,0.001,11,11,0.0033495742731270792,0.9966504257268729,3.423264907135875
credit,county,W_bank,0.046541453111473244,0.04003688209820478,0.001,11,11,0.4027638291889286,0.5972361708110714,411.62463343108504
credit,county,W_bank_count,0.048209723783940776,0.04430986222963043,0.001,11,11,0.4027638291889286,0.5972361708110714,411.62463343108504
credit,county,W_bank_binary,0.01644664833360539,0.014676294681752326,0.001,8,11,0.4027638291889286,0.5972361708110714,411.62463343108504
credit,county,W_bank_nonGeo,0.03269399731813269,0.02451821869190753,0.001,10,11,0.39966485127775453,0.6003351487222455,408.4574780058651
credit,county,W_bank_interstate,0.009987783690927949,0.011076858806511136,0.001,7,11,0.3763020011362919,0.6236979988637081,384.5806451612903
credit,county,W_bank_intrastate,0.1064088057764471,0.1097282049225044,0.001,11,11,0.026461828052636714,0.9735381719473633,27.04398826979472
credit,county,W_bank_1994,0.05948247204913198,0.06778365014134498,0.001,11,11,0.11741682974559686,0.8825831702544031,120.0
credit,county,W_bank_knn3,0.1494720407843506,0.15932014135813177,0.001,11,11,0.002876119314475479,0.9971238806855245,2.9393939393939394
credit,county,W_bank_knn4,0.14117883440323353,0.13826884076600085,0.001,11,11,0.0038192033331229088,0.9961807966668771,3.903225806451613
credit,state,W_geo,0.20276926618163194,0.22902858591948308,0.002,6,11,0.05673758865248227,0.9432624113475178,2.6666666666666665
credit,state,W_bank,0.03028958548172815,0.029306382067878417,0.008,3,11,0.9131205673758865,0.08687943262411346,42.916666666666664
credit,state,W_bank_count,0.031047595762403204,0.03909305703231633,0.003,2,11,0.9131205673758865,0.08687943262411346,42.916666666666664
credit,state,W_bank_binary,-0.0019853046157675682,3.767099319822716e-05,0.032,2,11,0.9131205673758865,0.08687943262411346,42.916666666666664
credit,state,W_bank_nonGeo,0.030025519082551768,0.02290441758374092,0.007,2,11,0.9131205673758865,0.08687943262411346,42.916666666666664
credit,state,W_bank_interstate,0.03290393608041899,0.023592166154497666,0.006,4,11,0.9131205673758865,0.08687943262411346,42.916666666666664
credit,state,W_bank_1994,0.048759945416744395,0.02464485783902114,0.023,2,11,0.37056737588652483,0.6294326241134751,17.416666666666668
credit,state,W_bank_knn3,0.10525081561244036,0.12922350900009558,0.014,2,11,0.05629432624113475,0.9437056737588653,2.6458333333333335
credit,state,W_bank_knn4,0.09462386563112163,0.12930693068026258,0.015,3,11,0.07535460992907801,0.924645390070922,3.5416666666666665
