sample,estimator,beta,se,ci_lower,ci_upper,t_stat,p_value,hausman_chi2,hausman_p
Full,OLS (Favara-Imbs),0.02067034780434148,0.010322850356884395,0.00043793288705162164,0.04090276272163134,2.0023876245146046,0.04524305842943189,,
Full,FGLS W_geo,0.02125611387191542,0.012091148205545924,-0.0024421011426906947,0.04495432888652153,1.7579896888672444,0.07874926377782118,,
Full,FGLS W_bank,0.014545697510922271,0.012381003423761788,-0.009720623292117933,0.03881201831396248,1.174839955459989,0.24005875159932621,,
Full,FGLS W_bank_count,0.01621617350233834,0.012167485677479087,-0.007631660207927608,0.040064007212604294,1.3327464631705306,0.1826150200158344,,
Full,FGLS W_bank_binary,0.01812119682020747,0.010606936833771707,-0.0026680173602763903,0.03891041100069133,1.708428842765511,0.08755679923873869,,
Full,FGLS W_bank_knn3,0.02007015507676606,0.012712162865089057,-0.004845226304415997,0.044985536457948117,1.57881513081334,0.11437846698251414,,
Full,FGLS W_bank_knn4,0.01896199314764547,0.013071347318471812,-0.006657376825973494,0.04458136312126443,1.45065330188643,0.14687642498951547,,
Full,FGLS W_bank_count_knn3,0.020962609878092384,0.013469412709829907,-0.005436953926080287,0.04736217368226506,1.5563120924191431,0.1196338973356839,,
Full,FGLS W_bank_count_knn4,0.02086522691579317,0.013245840996515365,-0.005096144382321085,0.04682659821390743,1.5752285507037467,0.11520369927469859,,
Full,FGLS W_bank_binary_knn3,0.020977080734621886,0.013328641067177507,-0.00514657571990754,0.04710073718915131,1.573834919021045,0.1155256189359778,,
Full,FGLS W_bank_binary_knn4,0.020577291477853924,0.013123627037182735,-0.005144544861560334,0.04629912781726818,1.567957655269612,0.11689101493057413,,
Full,FGLS W_bank_nonGeo,0.014781625254104386,0.011612930911315525,-0.00797930108702595,0.03754255159523472,1.2728591401246792,0.20306803067885204,,
Full,FGLS W_bank_interstate,0.016776844990153524,0.010328651578514573,-0.0034669401125978147,0.03702063009290486,1.624301571470601,0.10431146203279713,,
Full,FGLS W_bank_intrastate,0.02210005984070655,0.015976001727842217,-0.009212328162813865,0.05341244784422697,1.3833285835336144,0.16656413746933196,,
Contig,OLS (Favara-Imbs),0.031191810301802375,0.010513752418041264,0.01058523422007059,0.051798386383534165,2.966762870340966,0.0030095297203711732,,
Contig,FGLS W_geo,0.029619419087056124,0.011273771934873224,0.007523232124786165,0.05171560604932608,2.6272856376874367,0.00860690518136111,,
Contig,FGLS W_bank,0.02181711147453637,0.011780415760839167,-0.001272079139616418,0.044906302088689155,1.8519814510334607,0.06402848653328118,,
Contig,FGLS W_bank_count,0.022496355429416415,0.01163861165948421,-0.0003149042532205881,0.04530761511205342,1.9329071273792624,0.05324763970965308,,
Contig,FGLS W_bank_binary,0.029130348230593184,0.010725294299505266,0.008109157679970114,0.050151538781216254,2.716041855554202,0.006606756494113368,,
Contig,FGLS W_bank_knn3,0.03275238873165119,0.012021884439966985,0.009189928203013422,0.05631484926028896,2.724397235325707,0.006441897427138849,,
Contig,FGLS W_bank_knn4,0.030393867290578806,0.011420796659699611,0.008009517162812216,0.052778217418345395,2.661273831958604,0.007784561924516004,,
Contig,FGLS W_bank_count_knn3,0.027989528902057713,0.011871290799474219,0.00472222648508654,0.05125683131902889,2.3577494119929545,0.018386099603679207,,
Contig,FGLS W_bank_count_knn4,0.02702057125760763,0.012036659161697877,0.0034291528064957118,0.05061198970871955,2.244856392012029,0.024777353205790567,,
Contig,FGLS W_bank_binary_knn3,0.028113514547276716,0.011764697616250304,0.005055130930421894,0.051171898164131535,2.389650415531647,0.01686441658494642,,
Contig,FGLS W_bank_binary_knn4,0.02708760654424849,0.011912376463545316,0.0037397777054170543,0.05043543538307993,2.273904508235024,0.022971728590690788,,
