sample,w_matrix,n_counties,n_obs,beta,se_beta,p_beta,lam,se_lam,p_lam,lam_geo,se_lam_geo,p_lam_geo,n_counties_geo,n_obs_geo,logll_geo,gap_vs_geo,se_gap,z_gap,p_gap_onesided,lr_vs_geo,p_lr_vs_geo
Full,W_geo,877,9647,0.026457228522455717,0.0046699450085910706,1.4665958942361606e-08,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,-45767.03685106497,,,,,,
Full,W_bank,877,9647,0.017729225053439237,0.004994550892287872,0.0003856505130624107,0.634416065579692,0.03691245318480551,3.320184592807735e-66,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,-45767.03685106497,0.448790214576137,0.038502593620446605,11.656103456308701,1.067976792600625e-31,-56.02834518319287,1.0
Full,W_bank_count,877,9647,0.01913680652546358,0.005012901643234337,0.0001348048483625594,0.6484703313773114,0.0332428531236275,9.562591190410333e-85,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,-45767.03685106497,0.46284448037375636,0.03500011141667792,13.224085914001007,3.185350746514999e-40,-61.69757203766494,1.0
Full,W_bank_binary,877,9647,0.021797991915649906,0.004192533381277382,2.001038198966906e-07,0.4076122383646753,0.06133182870526551,3.011350900692914e-11,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,-45767.03685106497,0.22198638736112028,0.062301795541644125,3.5630816966220316,0.00018326327423546536,-224.9185337833187,1.0
Full,W_bank_knn3,877,9647,0.02630420564644563,0.004985544201219442,1.319655777449422e-07,0.22766201577632852,0.012006281956004292,3.521338946702337e-80,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,-45767.03685106497,0.0420361647727735,0.016250271437359794,2.586797699645267,0.004843622416141157,14.18747596241883,0.00016546819313645808
Full,W_bank_knn4,877,9647,0.025243645895730027,0.005165139381261289,1.0222220931293395e-06,0.26357099861851,0.013203593616482838,1.177440043213936e-88,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,-45767.03685106497,0.077945147614955,0.017153874191273052,4.543880102292531,2.7614039527167443e-06,39.27040396508528,3.689921763831106e-10
Full,W_bank_nonGeo,870,9570,0.017305893406015644,0.004688498570512828,0.0002232533069428236,0.5198338044227102,0.045582268026704814,3.979710759117672e-30,0.1871983508864951,0.010924119669657355,7.963503023386016e-66,870,9570,-45310.141187762616,0.3326354535362151,0.04687301514747425,7.096523500561263,6.396710051403559e-13,-165.79183433312573,1.0
Full,W_bank_interstate,853,9383,0.016765546068697765,0.004045057379927643,3.4026006769051156e-05,0.3146149477616828,0.06385603663098015,8.352681013230279e-07,0.1864321740040172,0.010993662859224883,1.675393306085235e-64,853,9383,-44145.30429941937,0.1281827737576656,0.06479547852496638,1.9782672599335065,0.02394928226161285,-249.4439951411332,1.0
Full,W_bank_intrastate,876,9636,0.029923934236788505,0.006010666960688749,6.408837382569519e-07,0.34863158592784704,0.01752610097715575,4.760352103147097e-88,0.18566386968653675,0.010959627050466839,2.253857591024937e-64,876,9636,-45713.82225839851,0.1629677162413103,0.020670695211985113,7.883997832197713,1.585348942884635e-15,55.410467346635414,9.78142027065265e-14
Contig,W_geo,238,2618,0.036560362947083126,0.0069160094380418344,1.2478928109183225e-07,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,,,,,,
Contig,W_bank,238,2618,0.028044087375659,0.007412630001923267,0.00015477240055373397,0.3526284152961422,0.05159938265586133,8.259873645612623e-12,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,0.2391310167091414,0.0561069864096959,4.262054193447413,1.0127815171904541e-05,6.8185910469183,0.009021371336817184
Contig,W_bank_count,238,2618,0.02832911495685169,0.007452651178896889,0.00014398942254519804,0.37049117646833274,0.047764284965942434,8.71973285261024e-15,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,0.25699377788133193,0.05260156415753767,4.885667983401695,5.153938829927112e-07,7.408614360221691,0.0064912299305382535
Contig,W_bank_binary,238,2618,0.03554249255913772,0.006556720190495888,5.934183439014592e-08,0.12282517240665491,0.08509736534960174,0.1489222649693482,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,0.00932777381965412,0.08790369288576787,0.1061135603458173,0.45774612614591326,-22.375060314658185,1.0
Contig,W_bank_knn3,238,2618,0.04031612082876931,0.007217888010036698,2.329159780794278e-08,0.15752695405444156,0.02118105657850211,1.028711850965156e-13,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,0.044029555467440765,0.030563618753241647,1.4405871183945091,0.07485068089044902,14.459541425650968,0.00014320257150023246
Contig,W_bank_knn4,238,2618,0.03783466023997339,0.007106009347031089,1.0133197019728597e-07,0.13754028861193796,0.02253628748368316,1.0405751060701283e-09,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,0.02404289002493716,0.031517961340464445,0.762831382563745,0.22278198126706583,6.033653384994977,0.014035653759835258
Contig,W_bank_nonGeo,236,2596,0.029394047367860228,0.006701771922187652,1.154481273146137e-05,0.1682082228865591,0.060637640960340126,0.005537334312719305,0.11855763771923253,0.02202126385858938,7.29376843216429e-08,236,2596,-10147.458625847292,0.049650585167326566,0.06451247602723627,0.769627647625318,0.22076039993482904,-19.149304502701852,1.0
Contig,W_bank_interstate,233,2563,0.022047532318127304,0.006386032679769525,0.0005554966283671002,0.268921474447162,0.06041568567046395,8.539720020094158e-06,0.10620655194408332,0.022139539429115708,1.6094414822413634e-06,233,2563,-9936.37591177225,0.1627149225030787,0.06434449689884654,2.5288086836528763,0.0057225197323799845,-6.393079567613313,1.0
Contig,W_bank_intrastate,238,2618,0.03918736042709848,0.007414785259628223,1.256843544408971e-07,0.1471433711318925,0.027631548848337257,1.0084508956116718e-07,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,-10290.684649493982,0.0336459725448917,0.035341195866436734,0.9520326553761307,0.17054021043985096,0.7801777368076728,0.3770867870702408
NonContig,W_geo,639,7029,0.02389673612589476,0.005939946278110171,5.7447846010575276e-05,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,-32528.90204608236,,,,,,
NonContig,W_bank,639,7029,0.018120657239765275,0.006174959637652494,0.0033404403167688695,0.6127513294802596,0.0401522444319027,1.3974259654358992e-52,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,-32528.90204608236,0.4115646700478981,0.041922031982788606,9.817383618639214,4.738564275372841e-23,-83.16546817769995,1.0
NonContig,W_bank_count,639,7029,0.019292363409006273,0.006187017499750896,0.0018195873818407436,0.6271326436057338,0.03599569371070003,5.575283307324047e-68,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,-32528.90204608236,0.42594598417337237,0.03795976815473481,11.220984871063894,1.608339764391803e-29,-81.58982701340574,1.0
NonContig,W_bank_binary,639,7029,0.018594730153026966,0.005176609945532155,0.00032806537584851545,0.39077589538240914,0.06695841722293558,5.343742219867884e-09,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,-32528.90204608236,0.1895892359500477,0.06803443003103211,2.7866660434073096,0.0026626664044607866,-219.90942981707485,1.0
NonContig,W_bank_knn3,639,7029,0.02166215861974785,0.006240347225490904,0.00051793223279318,0.23563173070331855,0.01321885138453216,4.486155405311746e-71,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,-32528.90204608236,0.03444507127095711,0.017888322016696736,1.9255618966835746,0.027079550152101457,-3.7454639610659797,1.0
