outcome,w_matrix,direction,rank,fips5,state,total_transmission
credit,W_geo,sender,1,51760,Virginia,0.21573781942453288
credit,W_geo,sender,2,51670,Virginia,0.21573221844267923
credit,W_geo,sender,3,51830,Virginia,0.21538308132049205
credit,W_geo,sender,4,51036,Virginia,0.21491948502730904
credit,W_geo,sender,5,13113,Georgia,0.21454050609469547
credit,W_geo,sender,6,51735,Virginia,0.2144249361149064
credit,W_geo,sender,7,34007,New Jersey,0.21427335624481264
credit,W_geo,sender,8,34029,New Jersey,0.21424812463309093
credit,W_geo,sender,9,29510,Missouri,0.21422269933807203
credit,W_geo,sender,10,34013,New Jersey,0.2141877385765402
credit,W_geo,receiver,1,51041,Virginia,0.6113334562572428
credit,W_geo,receiver,2,08059,Colorado,0.5460152690687491
credit,W_geo,receiver,3,51003,Virginia,0.5312984299272786
credit,W_geo,receiver,4,55009,Wisconsin,0.48197603488119667
credit,W_geo,receiver,5,47093,Tennessee,0.4813543893677009
credit,W_geo,receiver,6,51161,Virginia,0.4680621575587071
credit,W_geo,receiver,7,17119,Illinois,0.46780704760487063
credit,W_geo,receiver,8,40143,Oklahoma,0.45960571078350637
credit,W_geo,receiver,9,13095,Georgia,0.4537867201206437
credit,W_geo,receiver,10,47065,Tennessee,0.44896956754703343
credit,W_bank,sender,1,13289,Georgia,2.1857164941895686
credit,W_bank,sender,2,13169,Georgia,2.185695609879734
credit,W_bank,sender,3,01063,Alabama,2.185634652924106
credit,W_bank,sender,4,13221,Georgia,2.1854151846959007
credit,W_bank,sender,5,21223,Kentucky,2.1853761102313753
credit,W_bank,sender,6,48051,Texas,2.18535582070146
credit,W_bank,sender,7,37053,North Carolina,2.185158100553701
credit,W_bank,sender,8,47057,Tennessee,2.185136908967549
credit,W_bank,sender,9,48055,Texas,2.185004399843858
credit,W_bank,sender,10,05025,Arkansas,2.184927865452623
credit,W_bank,receiver,1,47037,Tennessee,4.704823773179374
credit,W_bank,receiver,2,12073,Florida,4.616814405173028
credit,W_bank,receiver,3,12021,Florida,4.57786255922591
credit,W_bank,receiver,4,47187,Tennessee,4.577403779039725
credit,W_bank,receiver,5,47149,Tennessee,4.470898907986459
credit,W_bank,receiver,6,51740,Virginia,4.443766192037807
credit,W_bank,receiver,7,47021,Tennessee,4.417283372114527
credit,W_bank,receiver,8,16019,Idaho,4.3987576729511675
credit,W_bank,receiver,9,12115,Florida,4.3361303398942646
credit,W_bank,receiver,10,13021,Georgia,4.313034802034905
hpi,W_geo,sender,1,51760,Virginia,2.6566174324431895
hpi,W_geo,sender,2,51670,Virginia,2.6522695525588604
hpi,W_geo,sender,3,51830,Virginia,2.644412582739365
hpi,W_geo,sender,4,51540,Virginia,2.6215443406257384
hpi,W_geo,sender,5,51735,Virginia,2.6202571206212277
hpi,W_geo,sender,6,34029,New Jersey,2.6152662793564363
hpi,W_geo,sender,7,13149,Georgia,2.6131942458105257
hpi,W_geo,sender,8,51570,Virginia,2.611769075510085
hpi,W_geo,sender,9,51036,Virginia,2.6109647821966995
hpi,W_geo,sender,10,13113,Georgia,2.610541525323657
hpi,W_geo,receiver,1,51041,Virginia,6.395196428715736
hpi,W_geo,receiver,2,08059,Colorado,6.200639225160966
hpi,W_geo,receiver,3,17119,Illinois,5.357910017361643
hpi,W_geo,receiver,4,13121,Georgia,5.350373463056841
hpi,W_geo,receiver,5,42125,Pennsylvania,5.2307082759800485
hpi,W_geo,receiver,6,51161,Virginia,5.13466757567259
hpi,W_geo,receiver,7,51003,Virginia,5.08799180308891
hpi,W_geo,receiver,8,51095,Virginia,4.9951358199558396
hpi,W_geo,receiver,9,47065,Tennessee,4.977785570320296
hpi,W_geo,receiver,10,21111,Kentucky,4.883865295885417
hpi,W_bank,sender,1,13169,Georgia,42.05268410316237
hpi,W_bank,sender,2,01063,Alabama,42.05254658628658
hpi,W_bank,sender,3,13289,Georgia,42.052478318151195
hpi,W_bank,sender,4,21223,Kentucky,42.05208768730059
hpi,W_bank,sender,5,13221,Georgia,42.05208623699142
hpi,W_bank,sender,6,47057,Tennessee,42.05160329744355
hpi,W_bank,sender,7,37053,North Carolina,42.051483112929134
hpi,W_bank,sender,8,48051,Texas,42.05140004499901
hpi,W_bank,sender,9,17013,Illinois,42.05115869034029
hpi,W_bank,sender,10,05025,Arkansas,42.051132806323594
hpi,W_bank,receiver,1,51740,Virginia,101.69138790125523
hpi,W_bank,receiver,2,51650,Virginia,97.50457444955241
hpi,W_bank,receiver,3,37071,North Carolina,97.06009576404469
hpi,W_bank,receiver,4,51760,Virginia,95.77805084638119
hpi,W_bank,receiver,5,51670,Virginia,95.57766756086791
hpi,W_bank,receiver,6,51161,Virginia,94.92108581832456
hpi,W_bank,receiver,7,51770,Virginia,94.52698166623469
hpi,W_bank,receiver,8,37023,North Carolina,94.48996649410424
hpi,W_bank,receiver,9,51700,Virginia,94.18365924527536
hpi,W_bank,receiver,10,12021,Florida,93.8976864310238
