k,n_links,possible_links,density,sparsity,avg_nbrs,lam_geo,se_lam_geo,lam_bank_knn,gap,lam_bank_count_knn,gap_count,lam_bank_binary_knn,gap_binary,n_co,n_obs,lam_geo_contig,se_lam_geo_contig,lam_bank_knn_contig,gap_contig,lam_bank_count_knn_contig,gap_count_contig,lam_bank_binary_knn_contig,gap_binary_contig,n_co_contig,n_obs_contig,lam_geo_noncontig,se_lam_geo_noncontig,lam_bank_knn_noncontig,gap_noncontig,lam_bank_count_knn_noncontig,gap_count_noncontig,lam_bank_binary_knn_noncontig,gap_binary_noncontig,n_co_noncontig,n_obs_noncontig
1,1012,1045506,0.0009679523599099383,0.99903204764009,0.989247311827957,0.18562585100355503,0.010950822589230334,0.13078219494590665,-0.05484365605764838,0.13078219494590665,-0.05484365605764838,0.13078219494590665,-0.05484365605764838,877,9647,0.1134973985870008,0.02203401083579195,0.14192860881842292,0.02843121023142213,0.14192860881842292,0.02843121023142213,0.14192860881842292,0.02843121023142213,238,2618,0.20118665943236144,0.01205213809440837,0.15701981258237702,-0.044166846849984426,0.15701981258237702,-0.044166846849984426,0.15701981258237702,-0.044166846849984426,639,7029
2,2012,1045506,0.0019244270238525651,0.9980755729761475,1.9667644183773216,0.18562585100355503,0.010950822589230334,0.1900711501157763,0.004445299112221274,0.19466499447492264,0.009039143471367611,0.19149462779768345,0.005868776794128422,877,9647,0.1134973985870008,0.02203401083579195,0.13922612620913494,0.025728727622134143,0.1411947718528867,0.027697373265885908,0.14031718900020393,0.026819790413203135,238,2618,0.20118665943236144,0.01205213809440837,0.20761771047814606,0.006431051045784619,0.21883254548917241,0.017645886056810972,0.20958815077668075,0.008401491344319306,639,7029
3,3007,1045506,0.002876119314475479,0.9971238806855245,2.9393939393939394,0.18562585100355503,0.010950822589230334,0.22766201577632852,0.0420361647727735,0.2321789325857082,0.04655308158215318,0.22355166038935245,0.03792580938579743,877,9647,0.1134973985870008,0.02203401083579195,0.1575268827146145,0.04402948412761372,0.16465089544516584,0.051153496858165046,0.16137204313435605,0.04787464454735525,238,2618,0.20118665943236144,0.01205213809440837,0.2356316441235219,0.034444984691160446,0.2431663399687051,0.041979680536343655,0.23351489680791085,0.03232823737554941,639,7029
4,3993,1045506,0.0038192033331229088,0.9961807966668771,3.903225806451613,0.18562585100355503,0.010950822589230334,0.2635709613471727,0.0779451103436177,0.26023402853718675,0.07460817753363172,0.26365769351710006,0.07803184251354503,877,9647,0.1134973985870008,0.02203401083579195,0.13754025351644555,0.02404285492944476,0.14602724765234426,0.032529849065343466,0.13690629516166897,0.023408896574668173,238,2618,0.20118665943236144,0.01205213809440837,0.27380467441269973,0.07261801498033829,0.2648702546599715,0.06368359522761005,0.27456529863989865,0.0733786392075372,639,7029
5,4970,1045506,0.004753679079794855,0.9952463209202052,4.858260019550342,0.18562585100355503,0.010950822589230334,0.28035771835321865,0.09473186734966363,0.28113812718922904,0.09551227618567401,0.2756688669355348,0.09004301593197975,877,9647,0.1134973985870008,0.02203401083579195,0.13684888038821919,0.02335148180121839,0.14695791273903494,0.033460514152034146,0.13823893167741008,0.024741533090409287,238,2618,0.20118665943236144,0.01205213809440837,0.2776435179993903,0.07645685856702886,0.27096377016215584,0.0697771107297944,0.27504294407357294,0.0738562846412115,639,7029
6,5938,1045506,0.005679546554491318,0.9943204534455087,5.804496578690127,0.18562585100355503,0.010950822589230334,0.30356675232869496,0.11794090132513993,0.3089990610518289,0.12337321004827387,0.29472153172575,0.10909568072219497,877,9647,0.1134973985870008,0.02203401083579195,0.13512629104805837,0.021628892461057578,0.14445121651083395,0.030953817923833157,0.13408683619473247,0.020589437607731673,238,2618,0.20118665943236144,0.01205213809440837,0.3023054859614313,0.10111882652906987,0.3054608902178481,0.10427423078548667,0.2926900386560147,0.09150337922365323,639,7029
7,6902,1045506,0.00660158813053201,0.993398411869468,6.746823069403715,0.18562585100355503,0.010950822589230334,0.3323289072772106,0.14670305627365557,0.3378605698904044,0.1522347188868494,0.3303974162932339,0.14477156528967886,877,9647,0.1134973985870008,0.02203401083579195,0.13804173985785528,0.02454434127085449,0.1499607287064508,0.03646333011945001,0.13395069813431684,0.020453299547316048,238,2618,0.20118665943236144,0.01205213809440837,0.32685722171825715,0.1256705622858957,0.32881806523003054,0.1276314057976691,0.32652661076352174,0.1253399513311603,639,7029
8,7862,1045506,0.007519803807916932,0.992480196192083,7.685239491691105,0.18562585100355503,0.010950822589230334,0.3481945499407649,0.16256869893720985,0.3525807926329066,0.16695494162935157,0.3478359956800856,0.16221014467653058,877,9647,0.1134973985870008,0.02203401083579195,0.14725983400492756,0.03376243541792677,0.15772176537957655,0.044224366792575756,0.14138236004267682,0.027884961455676024,238,2618,0.20118665943236144,0.01205213809440837,0.330258343968464,0.12907168453610254,0.33278206723642095,0.1315954078040595,0.3282066742358373,0.12702001480347588,639,7029
9,8820,1045506,0.008436106535973969,0.9915638934640261,8.621700879765395,0.18562585100355503,0.010950822589230334,0.373031565470524,0.187405714466969,0.38242078560794,0.196794934604385,0.3785378203469528,0.1929119693433978,877,9647,0.1134973985870008,0.02203401083579195,0.15717383772372276,0.043676439136721965,0.16837591264655494,0.05487851405955414,0.1552114189204181,0.0417140203334173,238,2618,0.20118665943236144,0.01205213809440837,0.3544065869957348,0.15321992756337335,0.36381321731230726,0.16262655787994582,0.35652350191611093,0.1553368424837495,639,7029
10,9778,1045506,0.009352409264031004,0.990647590735969,9.558162267839688,0.18562585100355503,0.010950822589230334,0.37704130825146714,0.19141545724791212,0.3865291454708118,0.20090329446725677,0.3797308375243243,0.19410498652076927,877,9647,0.1134973985870008,0.02203401083579195,0.15904932868467905,0.04555193009767826,0.1701970433535091,0.05669964476650831,0.15750104926514036,0.044003650678139564,238,2618,0.20118665943236144,0.01205213809440837,0.3613425140907482,0.16015585465838675,0.36877178790626985,0.1675851284739084,0.36398578709696083,0.1627991276645994,639,7029
