year,n_geo,lam_geo,se_geo,n_bank,lam_bank,se_bank,gap
1995,890,0.9990938410711162,,886,0.9999999512347525,,0.0009061101636362867
1996,890,0.9990938410711162,,886,0.9999999512347525,,0.0009061101636362867
1997,890,0.7664674879368364,0.015315041877823982,886,0.9535571057823932,0.028585277874335666,0.18708961784555678
1998,890,0.7652309241066678,0.01538348333994957,886,0.9721305613544305,0.01777251712622137,0.20689963724776272
1999,890,0.8494800946990035,0.010456014381589409,886,0.9876015861777641,0.00804499845747948,0.13812149147876052
2000,890,0.8357058224820749,0.011299847477336207,886,0.984428369537707,0.0100791575083772,0.14872254705563204
2001,890,0.829232721545153,0.011691024581189147,886,0.9843976753714214,0.010098754587943683,0.15516495382626838
2002,890,0.8397610907633297,0.011053044319591587,886,0.9865299068425228,0.008733714730608407,0.14676881607919312
2003,890,0.8433698212764392,0.010832279655916108,886,0.9859577068747123,0.009100744354035082,0.14258788559827307
2004,890,0.8434751160737652,0.010825822049673545,886,0.9860867493991824,0.009018015692244202,0.14261163332541715
2005,890,0.8305909887575567,0.011609223957735873,886,0.9856979265277332,0.0092672095722016,0.1551069377701766
