year,n_hcs,nz_pairs,sparsity,avg_nbrs
1995,2802,130412,0.8752642261259141,127.47996089931574
1996,2828,156444,0.8503652776741597,152.9266862170088
1997,2850,178328,0.8294337861284392,174.3186705767351
1998,2890,197282,0.8113047653480707,192.84652981427175
1999,2886,254806,0.756284516779435,249.0772238514174
2000,2899,264956,0.7465762989404174,258.99902248289345
2001,2936,286798,0.7256849793305825,280.3499511241447
2002,2979,296530,0.7163765679010929,289.8631476050831
2003,3009,299374,0.71365635395684,292.64320625610947
2004,3061,350136,0.6651037870657844,342.2639296187683
2005,3087,389834,0.6271336558565901,381.069403714565
