sample,w_matrix,n_counties,n_obs,rho,rho_se,beta_D,beta_D_se,multiplier,point_direct,point_indirect,point_total,n_boot_draws,mean_M,p5_M,p95_M,mean_direct,p5_dir,p95_dir,mean_indirect,p5_int,p95_int,mean_total,p5_tot,p95_tot
Full,W_geo,877,9647,0.177100613437113,0.0108573257400298,0.0222670350466521,0.0039388119435094,1.2152153912482941,0.0222670350466521,0.0047922086595047104,0.02705924370615681,1000,1.214647176766428,1.1907699234122218,1.239985776282467,0.022167632178469183,0.015900366284365725,0.028592355344402937,0.004756020794349267,0.0033298080274785182,0.006225076982787667,0.026923652972818454,0.019408546444854367,0.034622401011985
Full,W_bank,877,9647,0.6458988606535585,0.0355348291444228,0.0195645219803336,0.0039720865403438,2.824051913093765,0.0195645219803336,0.03568670374699252,0.05525122572732612,1000,2.8378982798537535,2.4426503420735286,3.330007028902075,0.019464279368997063,0.013144068386661116,0.025943277802748906,0.035732042027401205,0.022227599033095027,0.05177858470944146,0.055196321396398275,0.0359770797241076,0.07635204131943618
Full,W_bank_count,877,9647,0.6717135970147342,0.0315220961675826,0.0214726284724443,0.0039672525698602,3.0461206766607454,0.0214726284724443,0.04393558909972252,0.06540821757216682,1000,3.0591411912090964,2.6501786385036747,3.564294832347133,0.02137250785488093,0.015059988475693209,0.02784362144350819,0.043966605649895234,0.028615697126331628,0.062006168563811366,0.06533911350477617,0.044594737071876465,0.08827135465317536
Full,W_bank_binary,877,9647,0.4795142077728268,0.0576679269237555,0.0236268724060845,0.0039984098211947,1.9212820310060184,0.0236268724060845,0.021767012996597578,0.04539388540268208,1000,1.933935530749595,1.6387695704471557,2.308542610018828,0.02352596548031658,0.01716387004077277,0.030047900666244385,0.02194012210656775,0.01283109144496572,0.033025054387109426,0.04546608758688433,0.03158033087026356,0.06141809758756336
Full,W_bank_knn3,877,9647,0.2191491734629084,0.0119042245800529,0.0211131678180826,0.0039412137481,1.2806543401315058,0.0211131678180826,0.005925502182069716,0.027038670000152316,1000,1.2800005705491253,1.2509802203851843,1.3109127962324574,0.021013704336123616,0.014742616795236595,0.027442345162969995,0.005881169174326803,0.004044254599417751,0.007770778651207302,0.02689487351045042,0.018989374867454653,0.03500406477756628
Full,W_bank_knn4,877,9647,0.2538045220881227,0.0130854630168128,0.0199672735047947,0.003936833363408,1.3401314127477142,0.0199672735047947,0.0067914969459058235,0.026758770450700523,1000,1.3393957267849603,1.3045365681772485,1.376683355811409,0.01986792056957122,0.013603802905890059,0.026289416409703326,0.006739863631122128,0.004518462130604773,0.009002210140002982,0.026607784200693353,0.01836326606667133,0.03510440871338589
Full,W_bank_count_knn3,877,9647,0.223617419291756,0.0114802981212238,0.021544242073213,0.0039409770690611,1.2880247765061448,0.021544242073213,0.006205275508131457,0.027749517581344457,1000,1.2873786993320278,1.2590568709443526,1.3175215862929166,0.021444784564267107,0.015174073616751292,0.027873039336301548,0.0061601602267137906,0.00427528936080424,0.00808485500621575,0.027604944790980898,0.01965388939953159,0.03575758615726539
Full,W_bank_count_knn4,877,9647,0.2496432366360674,0.0125877014782508,0.020920401909526,0.0039423782000072,1.3326993889105352,0.020920401909526,0.006960204931062093,0.027880606840588094,1000,1.3319833281758469,1.2987982193836412,1.3674309220919738,0.02082090904056883,0.01454796867455891,0.02725144924246817,0.006909124020832355,0.0047311235195200045,0.009129226357734345,0.027730033061401187,0.019526371895845756,0.036189640163985
Full,W_bank_binary_knn3,877,9647,0.2144254135946867,0.0122706414529571,0.021056732645473,0.0039488513682605,1.2729536027582937,0.021056732645473,0.005747511037900034,0.026804243683373034,1000,1.2722948847576452,1.2427500524736945,1.3037873660601045,0.0209570764146951,0.014673836225489111,0.02739817521005623,0.005703769844312554,0.0039025949303499335,0.00756021250727219,0.02666084625900765,0.018792762056181907,0.03474087386054855
Full,W_bank_binary_knn4,877,9647,0.2532140292635545,0.0136102874613657,0.0196957246143629,0.00394336939663,1.3390717544062145,0.0196957246143629,0.006678263899293692,0.02637398851365659,1000,1.3383237747227814,1.3021463462145106,1.3770703189133318,0.019596206730810303,0.0133216892159348,0.026028363705481693,0.006626508911310708,0.004406683640665423,0.008899441600054474,0.02622271564212101,0.017976194912310214,0.03473258789635075
Full,W_bank_nonGeo,870,9570,0.5107939085128788,0.0444789820576435,0.0182955099077715,0.0039905428313085,2.044128267005289,0.0182955099077715,0.01910285905397955,0.03739836896175105,1000,2.0514580022725695,1.7907894251543441,2.370439297127738,0.018194801519372177,0.011845223691257943,0.024703904604429734,0.019104102276406167,0.01123626551982436,0.028546742746718628,0.03729890379577834,0.02352453362104971,0.05185036235377242
Full,W_bank_interstate,853,9383,0.3367788428613254,0.0611316606788136,0.0178309945598088,0.0039551128903244,1.5077926710213612,0.0178309945598088,0.009054448354492671,0.02688544291430147,1000,1.5134467525080526,1.3186720451589462,1.7523420977511952,0.01773118030847514,0.011437977058265204,0.024182492474374116,0.009084005859751866,0.004445886388293027,0.014710051567224682,0.026815186168227007,0.016742833171821268,0.0374546014653884
Full,W_bank_intrastate,876,9636,0.3392843169088877,0.0173903076041473,0.0199876104244956,0.0039553862078478,1.5135103125168297,0.0199876104244956,0.010263844075547379,0.03025145450004298,1000,1.5125962680547063,1.4539658729563665,1.5763275811631223,0.019887789275512057,0.013594151134371244,0.026339547258436426,0.010188904604893976,0.006800153608632544,0.013673775982334692,0.030076693880406034,0.020660146346301235,0.039846632432547116
Contig,W_geo,238,2618,0.1137558492602853,0.0217347312081877,0.034576551797423,0.0064023259506775,1.1283572356052647,0.034576551797423,0.00443815060547946,0.03901470240290246,1000,1.1276749972326767,1.0868830321789624,1.1718703724077737,0.03441497780717755,0.02422787579543134,0.044858018104889194,0.00438774894770195,0.0025126129913159373,0.006524606917749343,0.0388027267548795,0.027423910082890978,0.05058475931893636
Contig,W_bank,238,2618,0.3806439476549198,0.0496210465091424,0.0299579529497525,0.0064097104332443,1.6145801695384747,0.0299579529497525,0.01841156380288454,0.04836951675263704,1000,1.6183035539779789,1.435618923257587,1.8374673531205512,0.02979619259906189,0.01959734072050298,0.04025127796439691,0.01839323684035481,0.010319764247766245,0.028077513155960715,0.048189429439416696,0.030855993563300432,0.06617155268952975
Contig,W_bank_count,238,2618,0.4151174205364771,0.0453494208877084,0.0312820113118764,0.0063988904414681,1.7097448874562806,0.0312820113118764,0.022202247597953813,0.05348425890983021,1000,1.7132257418273318,1.5256838373857207,1.9371535697081113,0.031120524022766716,0.0209388884435402,0.041557960550630754,0.022165480155998882,0.013155501968859958,0.03286621627605786,0.0532860041787656,0.034891393005990055,0.0723032264004809
Contig,W_bank_binary,238,2618,0.2920743045530804,0.0773123374905007,0.0343233873153896,0.0064318918377287,1.4125776284595681,0.0343233873153896,0.014161061739282665,0.048484449054672266,1000,1.421497791982803,1.2074094687495662,1.6924167105823509,0.03416106717782475,0.02392692121521152,0.04465233334724175,0.014362029696459996,0.0063317257391127865,0.024932497857333837,0.048523096874284743,0.03257028956969492,0.06662877957418069
