model,sample,w_matrix,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs,lam_geo,se_lam_geo,p_lam_geo,n_co_geo,n_obs_geo,gap_vs_geo,se_gap,z_gap,p_gap_onesided
FE W_geo (full),Full,W_geo,0.026457228522455717,0.0046699450085910706,5.665426139661953,1.4665958942361606e-08,0.18562585100355503,0.010950822589230334,16.950859124145627,1.896619388251485e-64,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,,,,
FE W_bank (full),Full,W_bank,0.017729225053439237,0.004994550892287872,3.5497135650004257,0.0003856505130624107,0.634416065579692,0.03691245318480551,17.18704694059295,3.320184592807735e-66,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.448790214576137,0.038502593620446605,11.656103456308701,1.067976792600625e-31
FE W_bank_count (full),Full,W_bank_count,0.01913680652546358,0.005012901643234337,3.8175108724288607,0.0001348048483625594,0.6484703313773114,0.0332428531236275,19.50706002778108,9.562591190410333e-85,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.46284448037375636,0.03500011141667792,13.224085914001007,3.185350746514999e-40
FE W_bank_binary (full),Full,W_bank_binary,0.021797991915649906,0.004192533381277382,5.199241111112749,2.001038198966906e-07,0.4076122383646753,0.06133182870526551,6.646014752364308,3.011350900692914e-11,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.22198638736112028,0.062301795541644125,3.5630816966220316,0.00018326327423546536
FE W_bank_knn3 (full),Full,W_bank_knn3,0.02630420564644563,0.004985544201219442,5.276095163294658,1.319655777449422e-07,0.22766201577632852,0.012006281956004292,18.96190815862655,3.521338946702337e-80,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.0420361647727735,0.016250271437359794,2.586797699645267,0.004843622416141157
FE W_bank_knn4 (full),Full,W_bank_knn4,0.025243645895730027,0.005165139381261289,4.8873116546112865,1.0222220931293395e-06,0.26357099861851,0.013203593616482838,19.962065349351448,1.177440043213936e-88,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.077945147614955,0.017153874191273052,4.543880102292531,2.7614039527167443e-06
FE W_bank_count_knn3 (full),Full,W_bank_count_knn3,0.0269593303280571,0.005027695963280193,5.3621640061282,8.223082659567022e-08,0.23217896951298328,0.011559573356351821,20.085427234682864,9.896837632632384e-90,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.046553118509428254,0.01592307293086596,2.9236265331164635,0.0017298978783939932
FE W_bank_count_knn4 (full),Full,W_bank_count_knn4,0.026405898250058242,0.0051723405749717535,5.105212595209364,3.3042282755614193e-07,0.26023399141491066,0.012667695478705904,20.543120242538023,8.867837383257698e-94,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.07460814041135563,0.01674488053471936,4.455579139944342,4.183351193352317e-06
FE W_bank_binary_knn3 (full),Full,W_bank_binary_knn3,0.025966872712665096,0.004961678098580434,5.23348596921158,1.6634263881944406e-07,0.22355166038935245,0.012379709876687033,18.057907868288243,6.83649350409991e-73,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.03792580938579743,0.016528089182108737,2.294627586282098,0.010877237971843923
FE W_bank_binary_knn4 (full),Full,W_bank_binary_knn4,0.024696815769071248,0.005153104289105478,4.792609344484728,1.646259933133224e-06,0.26365769351710006,0.01373990247400758,19.189196867726952,4.556264357428277e-82,877,9647,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,0.07803184251354503,0.017570015235509526,4.441193787688945,4.473059169234793e-06
