model,sample,w_matrix,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs
FE W_geo (full),Full,W_geo,0.033815120202886115,0.004838879497380934,6.988212916066355,2.784096624985764e-12,0.17982834395382827,0.010699399616473721,16.807330354962065,2.1566764471777466e-63,949,10439
FE W_bank (full),Full,W_bank,0.02025565908692165,0.005332356276108451,3.798631981451962,0.00014549694503249372,0.6861180244077842,0.033029090791139894,20.773142946818158,7.573676266803375e-96,949,10439
FE W_bank_count (full),Full,W_bank_count,0.02301192436270398,0.00534810179306498,4.3028209359335925,1.6863713868121318e-05,0.7080829763855453,0.0290180299334079,24.401483422909525,1.6492865916397544e-131,949,10439
FE W_bank_binary (full),Full,W_bank_binary,0.026431016068159376,0.004428233788253423,5.968749016429925,2.3907954699281734e-09,0.5551157656990242,0.052606599199381404,10.552207786614568,4.961726872712521e-26,949,10439
FE W_bank_knn3 (full),Full,W_bank_knn3,0.034089057741986964,0.005211487117923806,6.5411382529844255,6.10523583725504e-11,0.23190885464925298,0.011787754932158372,19.67370852074457,3.622893004055624e-86,949,10439
FE W_bank_knn4 (full),Full,W_bank_knn4,0.03328742152451125,0.005411481009743824,6.151259048045159,7.687024336268218e-10,0.27010067760500167,0.012951172276592218,20.855307290844873,1.3641914859348711e-96,949,10439
FE W_bank_count_knn3 (full),Full,W_bank_count_knn3,0.03508905217079031,0.0052446813214650865,6.6904069132246695,2.2255088883632465e-11,0.23457804910156768,0.011356865747320609,20.655174968226685,8.770289074071627e-95,949,10439
FE W_bank_count_knn4 (full),Full,W_bank_count_knn4,0.03492408801850971,0.005425144980486533,6.437447873582482,1.214990280345108e-10,0.26806330232319164,0.012401250907219722,21.61582765550944,1.274961425947434e-103,949,10439
FE W_bank_binary_knn3 (full),Full,W_bank_binary_knn3,0.03375254125103714,0.005196431389795253,6.495330875977762,8.285111507411244e-11,0.22981012967329714,0.012176696986092871,18.8729447678435,1.903875257029486e-79,949,10439
FE W_bank_binary_knn4 (full),Full,W_bank_binary_knn4,0.03269745185071821,0.005399232395705599,6.055944522174089,1.3959611054200639e-09,0.2704693211259861,0.013519361087505661,20.006072726021703,4.8758284825785124e-89,949,10439
FE W_bank_nonGeo (full),Full,W_bank_nonGeo,0.022563122099310915,0.004864751501352712,4.638083177123626,3.5165527356156067e-06,0.48456655900622814,0.04231184701831079,11.452266756318345,2.2907571035547342e-30,941,10351
FE W_bank_interstate (full),Full,W_bank_interstate,0.02554254352365206,0.004169555362975798,6.125963394193291,9.013652904182867e-10,0.1751730398828388,0.061453198622925705,2.850511345352312,0.004364899314629135,920,10120
FE W_bank_intrastate (full),Full,W_bank_intrastate,0.03917789108756863,0.006252484594271896,6.265971630455638,3.7050778963747783e-10,0.34949413213634584,0.01721251361093177,20.304653930055867,1.1696509556150415e-91,947,10417
FE W_geo (contig),Contig,W_geo,0.04092859612476985,0.0074502730653126965,5.493569935755373,3.9388901982660837e-08,0.167662635162116,0.020576581297688083,8.14822602144089,3.6930162968510764e-16,253,2783
FE W_bank (contig),Contig,W_bank,0.02750977925110381,0.008064335758882742,3.41128892367883,0.0006465653980783426,0.4348145370060398,0.047857818728549495,9.085548580312791,1.0317704621504511e-19,253,2783
FE W_bank_count (contig),Contig,W_bank_count,0.029144858367506285,0.00806787779200474,3.612456598733909,0.00030330988417084313,0.4497649931882528,0.044333900840383494,10.144945169782229,3.4897433484204964e-24,253,2783
FE W_bank_binary (contig),Contig,W_bank_binary,0.03942759068076906,0.006927098925266732,5.691789752988243,1.2571459524797149e-08,0.19596728552170764,0.0813598177046391,2.408649515822768,0.016011666261901217,253,2783
