sample,w_matrix,n_counties,n_obs,lambda,lambda_se,beta_D,beta_D_se,beta_Deta,beta_Deta_se,delta_lambda,delta_lambda_se,z_stat
Full,W_geo,875,9625,0.733404230684569,0.005159691903912704,0.0065913047683188964,0.0010922764462794005,-0.0028865320444877098,0.00037939115009299427,,,
Full,W_bank,875,9625,0.9767729415999452,0.004506093921408963,0.004472363412659367,0.0009797210781669495,-0.0025691847728794215,0.0003277976694242855,0.24336871091537626,0.006850350572916769,35.52646077378107
Full,W_bank_count,875,9625,0.9255176010474163,0.011115291373309568,0.005109144461545478,0.0009738481068817278,-0.002667855324042294,0.00032869548802110486,0.19211337036284737,0.01225447358546553,15.676999017787614
Full,W_bank_binary,875,9625,0.8140492071541842,0.03069503496765238,0.0073031828508580525,0.0009071773531795105,-0.0036721577075269946,0.0003159184674749651,0.08064497646961521,0.03112567416472621,2.5909471403837974
Full,W_bank_knn4,875,9625,0.7334352716661949,0.00653725608432077,0.0038334819923386224,0.0012054037198105424,-0.0021470742644472854,0.00034953429703831656,3.10409816259849e-05,0.008328153316029385,0.003727234651917325
Full,W_bank_nonGeo,875,9625,0.8730537141893453,0.01937397113345332,0.004709622955526313,0.0009664936791187762,-0.0025677677196611942,0.0003239983256347938,0.13964948350477635,0.02004926876529877,6.965315550384629
Full,W_bank_interstate,875,9625,0.49320298166302273,0.05007592171188897,0.00655027156374011,0.000896447634291054,-0.00325293669179367,0.0003114522443136829,-0.24020124902154621,0.05034104047234756,-4.771479627114368
Full,W_bank_intrastate,875,9625,0.7578457278661218,0.007181721390187291,0.0037085992716422,0.0015860569967334043,-0.0018491303198320743,0.00033605643580163956,0.024441497181552863,0.00884305052962924,2.763921465749853
Border,W_geo,254,2794,0.8122304760629453,0.006961056112826012,0.005715145456863566,0.0017172979431821118,-0.0023199203857464322,0.0006283363900526276,,,
Border,W_bank,254,2794,0.9648193164398946,0.006746935255307029,0.006808610368121837,0.0016982608507529581,-0.003061802591032188,0.0006181994418490777,0.1525888403769493,0.009694196075240965,15.740226336731741
Border,W_bank_count,254,2794,0.9422559201182078,0.009087743961548989,0.007355943336290158,0.001694013964519228,-0.00316045929578337,0.0006210204129480779,0.1300254440552625,0.011447418596198118,11.35849475255899
Border,W_bank_binary,254,2794,0.8133109542841737,0.03345850244339029,0.011995206414656146,0.0016721253712002585,-0.004845650539762242,0.0006529120460459649,0.0010804782212283648,0.03417495702938435,0.031616081339893035
Border,W_bank_knn4,254,2794,0.7875642814934193,0.008172050641261483,0.009455591215440552,0.0018694354733130448,-0.0032971366640380285,0.0006277426262714507,-0.024666194569526012,0.010734929617340516,-2.2977509353840406
Border,W_bank_nonGeo,254,2794,0.8593818523573671,0.022811259597372183,0.007798389139094161,0.0017065471041262281,-0.003390821999244841,0.0006283080069790156,0.04715137629442179,0.02384973514789246,1.9770188642362527
Border,W_bank_interstate,254,2794,0.7296106066814125,0.036144428225083854,0.008565781670128147,0.001552489152249652,-0.0035816573567463606,0.0006013588197511345,-0.08261986938153276,0.03680864020748594,-2.24457814566945
Border,W_bank_intrastate,254,2794,0.7299857927689244,0.010535499975652878,0.00844939043858282,0.002432388719079335,-0.003754832080729111,0.0007250639236261507,-0.0822446832940209,0.012627472508102887,-6.5131548091865215
