sample,w_matrix,n_counties,n_obs,rho,rho_se,beta_D,beta_D_se,rho_geo,rho_geo_se,beta_D_geo,beta_D_geo_se,n_counties_geo,n_obs_geo,delta_rho,delta_rho_se,z_stat
Full,W_geo,877,9647,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,877,9647,,,
Full,W_bank,877,9647,0.6458988606535585,0.035534829144422825,0.01956452198033366,0.0039720865403438405,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,877,9647,0.4687982472164455,0.03715650151115464,12.616856489454719
Full,W_bank_count,877,9647,0.6717135970147342,0.03152209616758261,0.02147262847244433,0.003967252569860258,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,877,9647,0.4946129835776212,0.03333952712657216,14.835632842056908
Full,W_bank_binary,877,9647,0.4795142077728268,0.057667926923755566,0.02362687240608457,0.0039984098211947785,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,877,9647,0.30241359433571374,0.05868109847224,5.153509429936373
Full,W_bank_knn3,877,9647,0.2191491734629084,0.011904224580052957,0.021113167818082666,0.0039412137481000245,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,877,9647,0.04204856002579538,0.016111861626685233,2.6097890485946422
Full,W_bank_knn4,877,9647,0.25380452208812276,0.01308546301681287,0.019967273504794776,0.003936833363408064,0.17710061343711303,0.010857325740029867,0.022267035046652145,0.003938811943509443,877,9647,0.07670390865100973,0.01700326041056516,4.51112944217151
Full,W_bank_nonGeo,870,9570,0.5107939085128788,0.04447898205764352,0.018295509907771575,0.003990542831308584,0.1792623363820632,0.01083723101690871,0.02071800186170691,0.003928333764418293,870,9570,0.3315315721308155,0.04578018589955728,7.241813584117002
Full,W_bank_interstate,853,9383,0.3367788428613254,0.061131660678813635,0.01783099455980885,0.0039551128903244125,0.17915290369669015,0.010912412607510573,0.017935312552623896,0.0038826666447172474,853,9383,0.15762593916463527,0.06209799261060026,2.5383419421150206
Full,W_bank_intrastate,876,9636,0.3392843169088877,0.01739030760414734,0.01998761042449567,0.003955386207847883,0.1770662947551107,0.010865701342734674,0.0222955601707396,0.003941349719336224,876,9636,0.162218022153777,0.020505761732653848,7.910850826646312
Contig,W_geo,238,2618,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,,,
Contig,W_bank,238,2618,0.3806439476549198,0.04962104650914248,0.029957952949752505,0.006409710433244308,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,0.2668880983946345,0.05417238039217635,4.92664521039173
Contig,W_bank_count,238,2618,0.41511742053647716,0.04534942088770841,0.031282011311876454,0.0063988904414681805,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,0.30136157127619184,0.050288850807536804,5.992612009161814
Contig,W_bank_binary,238,2618,0.2920743045530804,0.07731233749050075,0.03432338731538962,0.006431891837728739,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,0.1783184552927951,0.08030937721671896,2.220393949906916
Contig,W_bank_knn3,238,2618,0.15796288592577992,0.020771366527812286,0.03541504559922593,0.006387492290456224,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,0.04420703666549462,0.03006406838943945,1.4704276245267973
Contig,W_bank_knn4,238,2618,0.1373516582621569,0.02199808961859622,0.0345975368079522,0.006404549046732816,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,0.023595809001871595,0.03092433487659779,0.7630175101915577
Contig,W_bank_nonGeo,236,2596,0.20523141515946,0.058060507172732756,0.029888378531301198,0.006353265687353978,0.12102674525764463,0.02171779757454743,0.03085837576295119,0.0063027701146212796,236,2596,0.08420466990181537,0.06198939606613352,1.358372161135131
Contig,W_bank_interstate,233,2563,0.29936002362178565,0.058206425896919614,0.025729451597024718,0.0061654687899923505,0.10866474196571624,0.0218430480720492,0.028367600357464717,0.00616798584655468,233,2563,0.19069528165606942,0.0621699828274984,3.0673208031146983
Contig,W_bank_intrastate,238,2618,0.1416280198324407,0.027300343106326883,0.03408187121564579,0.006461964675283095,0.1137558492602853,0.021734731208187776,0.034576551797423034,0.006402325950677593,238,2618,0.027872170572155394,0.03489566268772297,0.798728793935798
NonContig,W_geo,639,7029,0.1860509147422392,0.011963478322559581,0.018823079660967322,0.004866682302924919,0.1860509147422392,0.011963478322559581,0.018823079660967322,0.004866682302924919,639,7029,,,
NonContig,W_bank,639,7029,0.6293858749596302,0.03860012108883941,0.01814701731561927,0.0049149888089288895,0.1860509147422392,0.011963478322559581,0.018823079660967322,0.004866682302924919,639,7029,0.44333496021739094,0.04041155975271701,10.970498613025793
