model,sample,w_matrix,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs,gap_lam,se_gap,z_gap,p_gap_onesided,lam_geo,se_lam_geo,p_lam_geo,n_co_geo,n_obs_geo,n_hcs_1994,corr_1994_avg_rs,corr_1994_avg_raw,pct_pairs_shared,n_pairs_avg,n_pairs_1994
FE W_geo (full),Full,W_geo,0.024656084385522206,0.004610373219910812,5.347958442722167,8.895188217832005e-08,0.17630197487605515,0.01111470040290472,15.862053720312634,1.1603646325229871e-56,844,9284,,,,,0.17630197487605515,0.01111470040290472,1.1603646325229871e-56,844,9284,,,,,,
FE W_bank_1994 (full),Full,W_bank_1994,0.020938282832700994,0.004773156406963055,4.386674361258378,1.1509690551789912e-05,0.3914497697971757,0.03004419802247696,13.029130266826243,8.355462193155003e-39,844,9284,0.21514779492112057,,,,0.17630197487605515,0.01111470040290472,1.1603646325229871e-56,844,9284,2816.0,0.736885415553498,0.8536795491334647,30.067755629902443,355690.0,106948.0
FE W_bank_knn3 (full),Full,W_bank_knn3,0.02630420564644563,0.004985544201219442,5.276095163294658,1.319655777449422e-07,0.22766201577632852,0.012006281956004292,18.96190815862655,3.521338946702337e-80,877,9647,0.0420361647727735,,,,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,,,,,,
FE W_bank_knn4 (full),Full,W_bank_knn4,0.025243645895730027,0.005165139381261289,4.8873116546112865,1.0222220931293395e-06,0.26357099861851,0.013203593616482838,19.962065349351448,1.177440043213936e-88,877,9647,0.077945147614955,,,,0.18562585100355503,0.010950822589230334,1.896619388251485e-64,877,9647,,,,,,
FE W_geo (contig),Contig,W_geo,0.03138345456083034,0.006727405294284239,4.665016182018118,3.085927531731547e-06,0.10024865347836702,0.022686008879630005,4.418963864921224,9.917522607569565e-06,224,2464,,,,,0.10024865347836702,0.022686008879630005,9.917522607569565e-06,224,2464,,,,,,
FE W_bank_1994 (contig),Contig,W_bank_1994,0.026364279852654743,0.007171773111482706,3.6761173900556012,0.00023681058538549244,0.25028368304600157,0.04076994111206065,6.138926773479252,8.308085056454521e-10,224,2464,0.15003502956763454,,,,0.10024865347836702,0.022686008879630005,9.917522607569565e-06,224,2464,2816.0,0.8181389969275927,0.8911494516719357,23.62237998647735,23664.0,5590.0
FE W_bank_knn3 (contig),Contig,W_bank_knn3,0.04031612082876931,0.007217888010036698,5.585584144933876,2.329159780794278e-08,0.15752695405444156,0.02118105657850211,7.437162233650084,1.028711850965156e-13,238,2618,0.044029555467440765,,,,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,,,,,,
FE W_bank_knn4 (contig),Contig,W_bank_knn4,0.03783466023997339,0.007106009347031089,5.32431895206848,1.0133197019728597e-07,0.13754028861193796,0.02253628748368316,6.103058842833833,1.0405751060701283e-09,238,2618,0.02404289002493716,,,,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,,,,,,
FE W_geo (noncontig),NonContig,W_geo,0.023658702283688604,0.00586645804684382,4.032876753702703,5.5098180001677836e-05,0.19391727602872183,0.012205623804066862,15.887535052826175,7.730826836617789e-57,620,6820,,,,,0.19391727602872183,0.012205623804066862,7.730826836617789e-57,620,6820,,,,,,
FE W_bank_1994 (noncontig),NonContig,W_bank_1994,0.020351821982039952,0.005901874563238877,3.448365729221991,0.0005639898028235566,0.3914600351685589,0.033500951531452224,11.68504228308376,1.5200390192051522e-31,620,6820,0.19754275913983704,,,,0.19391727602872183,0.012205623804066862,7.730826836617789e-57,620,6820,2816.0,0.7071990294148157,0.8585111832300532,35.191464809547426,197582.0,69532.0
FE W_bank_knn3 (noncontig),NonContig,W_bank_knn3,0.02166215861974785,0.006240347225490904,3.471306617564662,0.00051793223279318,0.23563173070331855,0.01321885138453216,17.82543156351992,4.486155405311746e-71,639,7029,0.03444507127095711,,,,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,,,,,,
FE W_bank_knn4 (noncontig),NonContig,W_bank_knn4,0.021406375597132182,0.006498052838429914,3.2942753974749888,0.0009867576855591906,0.27380467440562656,0.014231528502234945,19.239301973967713,1.735294763450778e-82,639,7029,0.07261801497326512,,,,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,,,,,,
