sample,spec,dv,n_co,n_obs,beta_D,se_D,t_D,p_D,beta_E,se_E,t_E,p_E,p_perm
Full,Base,Dl_nloans_b,832,9152,0.014979123956094277,0.0035174464956459358,4.258522190639192,2.0578279477040816e-05,,,,,
Full,SLX-OLS,Dl_nloans_b,832,9152,0.009371502403200994,0.0036383546945339415,2.5757528306078044,0.010002211775983415,0.05056861139335201,0.008604253526347555,5.877164269800175,4.173540068026195e-09,0.001
Full,SLX-Conley,Dl_nloans_b,832,9152,0.009371502403200994,0.0003283974452686926,28.537074627767865,4.064122399163896e-179,0.05056861139335201,0.0012587259247293103,40.17444179059617,0.0,0.001
Full,SLX-Cluster,Dl_nloans_b,832,9152,0.009371502403200994,0.008472104786462252,1.1061598787323672,0.26865732511957363,0.05056861139335201,0.02261082428660117,2.236478013909391,0.025320475916368382,0.001
Full,Placebo-OLS,Dl_nloans_pl,832,9152,-0.005549589047423274,0.003179312305327998,-1.7455312704332593,0.08089243414007181,0.02023644514943551,0.007518675723281218,2.6914906153984446,0.007113349961241763,
Contig,Base,Dl_nloans_b,233,2563,0.021071899143551995,0.005487101269645254,3.8402606600541764,0.0001229037441409757,,,,,
Contig,SLX-OLS,Dl_nloans_b,233,2563,0.010947622571526863,0.005797408514311042,1.8883648693209032,0.058976984188397114,0.06271507017420974,0.012080994419819238,5.191217543427035,2.089233466361637e-07,0.0
Contig,SLX-Conley,Dl_nloans_b,233,2563,0.010947622571526863,0.0004074621051511683,26.867829997259005,5.221495662775258e-159,0.06271507017420974,0.0030523326291770326,20.54660411998378,8.253904755942558e-94,0.0
Contig,SLX-Cluster,Dl_nloans_b,233,2563,0.010947622571526863,0.007505666839934394,1.458580936910138,0.14468048357044955,0.06271507017420974,0.019677722731929692,3.1871101665868222,0.0014370202842230112,0.0
Contig,Placebo-OLS,Dl_nloans_pl,233,2563,0.0034171073587569495,0.005782205488767156,0.5909695470690584,0.5545408255366305,0.016688668733033207,0.01204931342540481,1.3850306771709304,0.1660430872345401,
NonContig,Base,Dl_nloans_b,599,6589,0.012644542583008792,0.004408834472066935,2.8680012060150717,0.0041307395880277155,,,,,
NonContig,SLX-OLS,Dl_nloans_b,599,6589,0.008821029480649934,0.004522309329832612,1.950558627747924,0.051109572785662326,0.04241410824142427,0.011374800543462791,3.728778195218559,0.00019241041524752678,0.016
NonContig,SLX-Conley,Dl_nloans_b,599,6589,0.008821029480649934,0.0003740013618857767,23.585554438018207,5.4225269505982816e-123,0.04241410824142427,0.0014742963477244076,28.76905196630983,5.233159608241664e-182,0.016
NonContig,SLX-Cluster,Dl_nloans_b,599,6589,0.008821029480649934,0.010406232170718444,0.8476679489691735,0.39662292083715667,0.04241410824142427,0.033094140109721074,1.2816198910382188,0.19997601902963558,0.016
NonContig,Placebo-OLS,Dl_nloans_pl,599,6589,-0.008303585228969339,0.0037854848201859456,-2.1935328295838894,0.028269011944202865,0.01969233883403458,0.009521492593589352,2.068198724146787,0.03862134019478275,
