outcome,w_matrix,sample,order_k,contribution,cumulative_share
credit,W_geo,full,1,0.00018957198006911463,0.8664656425881716
credit,W_geo,full,2,2.3488045796270462e-05,0.9738210897728561
credit,W_geo,full,3,5.727622197444786e-06,1.0
credit,W_bank,full,1,0.0007237531903035698,0.3391281638186168
credit,W_bank,full,2,0.0004920351081229288,0.5696804639501503
credit,W_bank,full,3,0.0003397859660369018,0.7288935662856261
credit,W_bank,full,4,0.00023314591336151745,0.8381384671156207
credit,W_bank,full,5,0.00016014485455267648,0.9131773494266875
credit,W_bank,full,6,0.0001098759995513683,0.9646618146764525
credit,W_bank,full,7,7.541728200768279e-05,1.0
credit,W_geo,contig,1,0.0006628091176590691,0.8653979695927969
credit,W_geo,contig,2,8.546098520896966e-05,0.9769802654737721
credit,W_geo,contig,3,1.763083629287274e-05,1.0
credit,W_bank,contig,1,0.0017254545119287292,0.5748961549913205
credit,W_bank,contig,2,0.0007463806183597046,0.8235792380216557
credit,W_bank,contig,3,0.0003260272391616634,0.9322067358320517
credit,W_bank,contig,4,0.00014179705035629477,0.9794514348231727
credit,W_bank,contig,5,6.167307641595473e-05,1.0
credit,W_geo,noncontig,1,0.0002468266931271501,0.8752513723245203
credit,W_geo,noncontig,2,2.8502535521785004e-05,0.9763218157765972
credit,W_geo,noncontig,3,6.677405024337441e-06,1.0
credit,W_bank,noncontig,1,0.0009377083860659527,0.3675347723413567
credit,W_bank,noncontig,2,0.0006060135612637529,0.6050617685638077
credit,W_bank,noncontig,3,0.0003975692715781001,0.7608890320187159
credit,W_bank,noncontig,4,0.00025904616165551376,0.8624221669087617
credit,W_bank,noncontig,5,0.0001690389993189253,0.9286769973599871
credit,W_bank,noncontig,6,0.00011015060860782994,0.971850524929456
credit,W_bank,noncontig,7,7.181905175624489e-05,1.0
