matrix,N,nnz,density_pct,mean_nbrs,median_nbrs,pct_isolated,mean_nonzero_weight,median_nonzero_weight
W_geo,1023,3502,0.3349574273127079,3.423264907135875,3.0,0.0,0.2921187892632781,0.25
W_bank,1023,421092,40.276382918892864,411.62463343108504,452.0,1.075268817204301,0.0024032752937600335,0.0012018016333839364
W_bank_count,1023,421092,40.276382918892864,411.62463343108504,452.0,1.075268817204301,0.0024032752937600335,0.0007891147773474198
W_bank_bin,1023,421092,40.276382918892864,411.62463343108504,452.0,1.075268817204301,0.0024032752937600335,0.0017857142857142857
W_bank_knn4,1023,3993,0.3819203333122909,3.903225806451613,4.0,1.075268817204301,0.2534435261707989,0.24514653430270653
W_bank_nonGeo,1023,417852,39.96648512777545,408.4574780058651,449.0,2.150537634408602,0.0023955850396791207,0.001244186962303898
W_bank_interstate,1023,393426,37.63020011362919,384.5806451612903,426.0,5.083088954056696,0.002468062608978563,0.0014036955033419618
W_bank_intrastate,1023,27666,2.6461828052636713,27.04398826979472,26.0,1.270772238514174,0.036506903780814,0.025197953489683126
W_bank_knn_1,1023,1012,0.09679523599099384,0.989247311827957,1.0,1.075268817204301,1.0,1.0
W_bank_knn_2,1023,2012,0.19244270238525651,1.9667644183773216,2.0,1.075268817204301,0.5029821073558648,0.5001261526036666
W_bank_knn_4,1023,3993,0.3819203333122909,3.903225806451613,4.0,1.075268817204301,0.2534435261707989,0.24514653430270653
W_bank_knn_8,1023,7862,0.7519803807916932,7.685239491691105,8.0,1.075268817204301,0.12872042737216993,0.1201313863669052
W_bank_knn_15,1023,14529,1.3896620392422425,14.20234604105572,15.0,1.075268817204301,0.06965379585656274,0.06296717442965813
W_bank_knn_20,1023,19227,1.8390138363624886,18.794721407624632,20.0,1.075268817204301,0.052634316325999894,0.04689772924204459
W_bank same-state entries,1023,27666,77.79214936452593,27.04398826979472,26.0,1.270772238514174,0.30023291170657695,0.2791659221188773
W_bank cross-state entries,1023,393426,38.955306344324725,384.5806451612903,426.0,5.083088954056696,0.08413443225260084,0.0618505787683172
